id,grad_yr,type,type2,parent,degree,major,spouse_type,spouse_type2,FSA,median_income,title,affinity,latest_date,pldg_blc,cons_giving,fy16,fy15,fy14,ttl_giving
1703,,I     ,I     , ,      , ,I     ,I     ,M6P,68781,                                                  ,0, ,0,0,0,0,0,0
2102,,I     ,I     , ,      , ,I     ,I     ,M5E,94414,Associate                                         ,0,12/14/2012,0,0,0,0,0,9100
2917,,I     ,I     , ,      , ,      ,      ,M5P,119364,Chairman                                          ,0, ,0,0,0,0,0,0
4716,,I     ,P     ,Parent,      , ,      ,      ,M5S,80977,CEO                                               ,0, ,0,0,0,0,0,0
6051,,I     ,I     , ,      , ,I     ,I     ,M5M,135475,                                                  ,0, ,0,0,0,0,0,0
39028,,I     ,I     , ,      , ,      ,      ,M3K,60887,                                                  ,0,5/20/2004,0,0,0,0,0,200
40813,,I     ,I     , ,      , ,I     ,I     ,M5M,135475,Shareholder Dir                                   ,0, ,0,0,0,0,0,0
41261,,I     ,I     , ,      , ,I     ,I     ,M5S,80977,                                                  ,0,5/3/1999,0,0,0,0,0,250
48916,,I     ,I     , ,      , ,      ,      ,M1H,58876,                                                  ,0, ,0,0,0,0,0,0
50470,,I     ,I     , ,      , ,      ,      ,M5B,63763,                                                  ,0, ,0,0,0,0,0,0
57212,,I     ,I     , ,      , ,      ,      ,M3K,60887,Publisher                                         ,0, ,0,0,0,0,0,0
58098,,I     ,I     , ,      , ,      ,      ,M5S,80977,Partner                                           ,0, ,0,0,0,0,0,0
58710,,I     ,I     , ,      , ,      ,      ,M4E,99523,                                                  ,0, ,0,0,0,0,0,0
61704,,I     ,I     , ,      , ,      ,      ,M3C,53636,                                                  ,0,12/31/2012,0,0,0,0,0,250
61989,,I     ,I     , ,      , ,I     ,A     ,M3C,53636,President                                         ,0, ,0,0,0,0,0,0
62974,,I     ,I     , ,      , ,I     ,I     ,M1S,58417,Attorney                                          ,0, ,0,0,0,0,0,0
64355,,I     ,I     , ,      , ,I     ,I     ,M5S,80977,President                                         ,0, ,0,0,0,0,0,0
71400,,I     ,I     , ,      , ,I     ,I     ,M5M,135475,First Vice President                              ,0,3/11/2015,0,13,0,2000,2750,15400
72536,,I     ,I     , ,      , ,I     ,I     ,M5M,135475,President                                         ,0,8/24/2015,0,4,225,200,700,3875
72976,,I     ,P     ,Parent,      , ,I     ,P     ,M5P,119364,Networking                                        ,0,6/17/2011,0,0,0,0,0,3086
73620,,I     ,I     , ,      , ,      ,      ,M1H,58876,Sr. VP                                            ,0, ,0,0,0,0,0,0
76316,,I     ,P     ,Parent,      , ,      ,      ,M5S,80977,President                                         ,0, ,0,0,0,0,0,0
80432,,I     ,I     , ,      , ,I     ,I     ,M5J,92668,Vice President                                    ,0, ,0,0,0,0,0,0
83505,,I     ,I     , ,      , ,I     ,I     ,M5S,80977,President and CEO                                 ,0, ,0,0,0,0,0,0
83718,1972,I     ,A     , ,BBA   ,Business General,      ,      ,M1B,65192,Vice President                                    ,0, ,0,0,0,0,0,0
83582,1973,I     ,A     , ,BS    ,Group SS Soc,      ,      ,M6H,57309,Billing Coordinator                               ,0, ,0,0,0,0,0,0
83639,1973,I     ,A     , ,BS    ,Biology,      ,      ,M4B,63005,                                                  ,4,11/10/2014,0,0,0,10,20,90
83698,1973,I     ,A     , ,BS    ,Accounting,      ,      ,M6H,57309,Owner                                             ,6, ,0,0,0,0,0,0
83837,1973,I     ,A     , ,BS    ,Biology,I     ,I     ,M4E,99523,Manager                                           ,2, ,0,0,0,0,0,0
84063,1977,I     ,A     ,Parent,BS    ,Group SS Soc,I     ,A     ,M1L,48164,                                                  ,1, ,0,0,0,0,0,0
83852,1975,I     ,A     , ,BPH   ,Environmental Studies,      ,      ,M5S,80977,Photographer                                      ,3, ,0,0,0,0,0,0
84005,1972,I     ,A     ,Parent,BBA   ,Business General,      ,      ,M5B,63763,RN                                                ,1, ,0,0,0,0,0,0
84086,1978,I     ,A     , ,BA    ,Art,      ,      ,M1L,48164,Postal Clerk                                      ,2, ,0,0,0,0,0,0
84024,1976,I     ,A     , ,BA    ,English Language and Literature,      ,      ,M5A,43816,Teacher                                           ,2, ,0,0,0,0,0,0
84286,1975,I     ,A     ,Parent,BS    ,Group SS Soc,I     ,P     ,M6N,57378,Self-Employed                                     ,1, ,0,0,0,0,0,0
84194,1976,I     ,A     ,Parent,BS    ,Group SS Soc,      ,      ,M1P,54560,Tchr /Coach                                       ,5,11/13/2009,0,0,0,0,0,490
84360,1972,I     ,A     , ,BPH   ,Environmental Studies,      ,      ,M4C,60310,Doctor of Chiropractic                            ,2, ,0,0,0,0,0,0
84333,1970,I     ,A     , ,BS    ,Business General,I     ,A     ,M5R,96285,Attorney                                          ,2,12/8/1989,0,0,0,0,0,400
84590,1976,I     ,A     ,Parent,BS    ,Legal Administration,I     ,A     ,M4E,99523,Atty                                              ,8,4/8/2009,0,0,0,0,600,4300
84582,1977,I     ,A     ,Parent,BS    ,Biology,      ,      ,M5J,92668,Operations Supervisor                             ,4, ,0,0,0,0,0,0
84598,1970,I     ,A     , ,BS    ,GRO Soc Science,I     ,A     ,M5T,40061,Elem  Teacher                                     ,8, ,0,0,0,0,0,0
84617,1968,I     ,A     , ,BA    ,GRP SS Hist,I     ,A     ,M5T,40061,Retired Teacher                                   ,7, ,0,0,0,0,0,0
84630,1973,I     ,A     , ,BS    ,Computer Science,      ,      ,M6K,43527,Computer Analyst                                  ,0, ,0,0,0,0,0,0
84746,1968,I     ,A     ,Parent,BA    ,GRO Soc Science,      ,      ,M5J,92668,Sixth Grade Teacher                               ,2, ,0,0,0,0,0,0
84817,1972,I     ,A     ,Parent,BA    ,English Language and Literature,      ,      ,M3N,45065,Teacher                                           ,3, ,0,0,0,0,0,0
84737,1971,I     ,A     , ,BS    ,Psychology,      ,      ,M4L,74448,                                                  ,0, ,0,0,0,0,0,0
84816,1971,I     ,A     , ,BS    ,Psychology,      ,      ,M6M,49028,Human Resources Mgr                               ,2, ,0,0,0,0,0,0
84708,1976,I     ,A     , ,BS    ,GRP SS Pol Sci,      ,      ,M6N,57378,Admin. Supervisor                                 ,0, ,0,0,0,0,0,0
84970,1979,I     ,A     ,Parent,BSN   ,Nursing,I     ,P     ,M1H,58876,Nurse                                             ,1, ,0,0,0,0,0,0
